Date,kWh,Temp_avg,Dew_avg,Hum_avg,Wind_avg,Press_avg,Precipit
2017-10-29,0.354875,54.0,30.4,48.0,3.4,29.9,0.0
2017-10-30,0.33670833333333333,62.1,50.5,68.7,4.8,29.9,0.0
2017-10-31,0.3391666666666666,68.7,64.7,88.4,7.2,29.9,0.0
2017-11-01,0.36916666666666664,71.8,63.4,75.9,12.6,29.9,0.0
2017-11-02,0.5857083333333334,74.9,67.0,77.4,9.9,29.9,0.0
2017-11-03,0.4845,67.5,65.0,91.7,7.7,30.0,0.0
2017-11-04,0.49462500000000004,68.1,64.1,87.2,9.6,30.0,0.14
2017-11-05,0.793375,77.8,69.8,77.2,10.0,29.8,0.0
2017-11-06,1.2910416666666666,81.2,71.4,73.4,8.8,29.8,0.0
2017-11-07,1.0795833333333333,82.3,73.9,76.3,4.6,29.9,0.5
2017-11-08,0.82825,86.4,75.8,72.1,4.8,29.9,0.12
2017-11-09,0.7770833333333332,73.8,59.0,62.0,7.3,29.9,0.0
2017-11-10,0.7027083333333334,71.0,55.5,59.3,7.4,30.0,0.0
2017-11-11,0.8995000000000001,65.1,54.9,70.0,8.5,30.0,0.0
2017-11-12,0.41170833333333334,57.3,35.5,50.2,5.3,30.1,0.0
2017-11-13,0.5692916666666666,67.9,60.3,78.8,5.2,30.1,0.0
2017-11-14,0.5087916666666666,67.1,59.5,78.6,6.8,30.0,0.0
2017-11-15,0.5670000000000001,68.5,63.2,84.8,5.2,29.9,0.0
2017-11-16,0.6752916666666667,72.1,68.1,88.1,7.1,30.0,0.0
2017-11-17,0.6138333333333333,76.1,67.9,77.7,8.3,29.9,0.0
2017-11-18,0.4902916666666666,73.5,61.2,67.8,13.3,29.8,0.0
2017-11-19,0.4090416666666667,55.3,35.5,50.3,9.3,30.1,0.0
2017-11-20,0.41970833333333335,54.3,42.9,67.9,6.4,30.0,0.0
2017-11-21,0.438375,64.0,58.1,82.0,7.3,29.8,0.0
2017-11-22,0.37266666666666665,59.8,49.0,69.4,11.4,30.1,0.0
2017-11-23,0.24341666666666664,51.5,36.9,60.9,2.7,30.0,0.0
2017-11-24,0.22916666666666666,56.4,41.5,63.5,4.0,29.9,0.0
